Speed,Distance,Obs Width,Obs Height,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
63,10,25,90,4,1,0,nothing,-2.723560290151669
63,34,25,90,5,1,0,down,-0.0001525503316649876
63,29,25,90,5,-1,0,release,-0.00025661117565828237
63,0,25,90,5,2,0,up,0.7485836018549126
63,38,51,105,6,1,0,down,-5.392745089319566e-7
63,33,51,105,6,1,0,release,-0.000051407051877599904
63,28,51,105,6,1,0,up,-0.001139061804250665
63,23,51,105,6,1,0,up,-0.015175725757721567
63,18,51,105,6,2,0,nothing,0.010324589931076366
63,14,51,105,6,2,0,up,0.03916782423681135
63,9,51,105,6,2,0,down,0.5443483175897627
63,4,51,105,6,1,0,nothing,-1.1134989909293302
63,-1,51,105,6,1,0,up,-2.5386646468903535
63,31,17,105,4,2,0,up,-0.00006838010787136552
63,26,17,105,4,2,0,down,-0.0012596108984809
63,21,17,105,4,1,0,nothing,-0.08964140000000002
63,16,17,105,4,1,0,nothing,-0.2428262522822448
63,12,17,105,4,-1,0,up,-2.04755
63,26,17,105,4,0,0,nothing,-0.001013608522610389
63,21,17,105,4,0,0,nothing,-0.004739612926733965
63,16,17,105,4,0,0,nothing,-0.23427950000000003
63,12,17,105,4,0,0,up,-2.04755
63,24,25,90,4,2,0,nothing,-0.001638509612900541
63,20,25,90,4,2,0,nothing,-0.009032881615644799
63,15,25,90,4,2,0,down,-0.16191388954993757
63,10,25,90,4,1,0,release,-2.00412971531708
62,40,17,105,5,0,0,nothing,-0.00017701460227271593
62,40,17,105,5,0,0,down,-0.009051392815462755
62,40,17,105,5,-1,0,nothing,-0.01019093004736178
62,40,17,105,5,-1,0,down,-0.00975057449565123
62,40,17,105,5,-1,0,up,-0.010099537122481734
62,40,17,105,5,-1,0,release,-0.00023743933694908649
62,40,17,105,5,0,0,up,-0.009595624109197502
62,40,17,105,5,2,0,nothing,-0.010831112995569735
62,40,17,105,5,2,0,down,-0.010495487909993025
62,40,17,105,5,1,0,nothing,-0.009458166027893768
63,36,17,105,5,1,0,up,0
63,31,17,105,5,-1,0,down,-0.00008445765447050632
63,26,17,105,5,-1,0,release,-0.0005713636737805631
63,21,17,105,5,0,0,up,-0.004269031342185428
63,16,17,105,5,2,0,up,0.010612614292173677
63,12,17,105,5,2,0,up,0.10996372707881572
63,7,17,105,5,2,0,down,1.0990553911758847
63,2,17,105,5,1,0,nothing,0.9989727797502359
63,-3,17,105,5,1,0,up,-0.008975793487950601
63,40,25,90,6,-1,0,down,-0.008487039925304887
63,39,25,90,6,-1,0,nothing,-0.000003036273307199756
63,34,25,90,6,-1,0,up,-0.00013879834170717664
63,30,25,90,6,-1,0,nothing,-0.0023427950000000004
63,25,25,90,6,-1,0,up,-0.02342795000000001
63,20,25,90,6,-1,0,up,-0.343094701955
63,40,25,90,5,1,0,down,-0.0068675684229434234
63,36,25,90,5,-1,0,up,-8.550000000000002e-7
63,32,25,90,5,-1,0,nothing,-0.00018509599644945867
63,27,25,90,5,-1,0,nothing,-0.0020475500000000004
63,22,25,90,5,-1,0,nothing,-0.02608515500000001
63,17,25,90,5,-1,0,up,-0.17195000000000002
63,12,25,90,5,-1,0,down,-2.8476639500000003
62,37,34,105,6,0,0,nothing,-0.000003604492780348539
63,32,34,105,6,0,0,nothing,-0.00009989555938414494
63,27,34,105,6,0,0,up,-0.0010698506380993423
63,23,34,105,6,2,0,down,-0.02342795000000001
63,18,34,105,6,1,0,release,-0.23132705
63,13,34,105,6,1,0,down,-1.7398895217615713
62,39,25,90,5,-1,0,nothing,-0.000006613753177784949
63,34,25,90,5,-1,0,down,-0.00004738562807304279
63,25,25,90,5,0,0,up,0.000050023243575050326
63,5,25,90,5,2,0,down,0.7163913373731889
63,40,17,105,5,1,0,nothing,-0.00519925530484203
63,40,17,105,5,-1,0,nothing,-0.009730448504611043
