Speed,Time To Collision,Obs Width,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
20,50,10,4,1,0,duck_on,-0.42856922000000003
20,50,10,4,-1,0,duck_on,-4.153515859369259
20,50,10,4,-1,0,duck_off,-3.9659375435121507
20,34,10,4,2,0,jump,-2.093891726655517
20,15,10,4,2,0,duck_on,1.9797231698000002
20,5,10,4,1,0,do_nothing,2.3383691420000003
20,-4,10,4,-1,0,jump,-0.022000000000000006
21,50,5,2,-1,0,do_nothing,-0.0381458
21,47,5,2,-1,0,jump,-0.0020000000000000005
21,37,5,2,-1,0,do_nothing,-0.020000000000000004
21,28,5,2,-1,0,duck_on,-0.2
20,37,6,3,-1,0,do_nothing,-0.2
20,27,6,3,-1,0,duck_on,-2
20,25,10,4,1,0,duck_off,-3.8
20,37,6,3,1,0,duck_on,-0.2
21,27,6,3,-1,0,do_nothing,-2
20,0,5,3,1,0,jump,-0.0020000000000000005
20,38,5,2,1,0,do_nothing,-0.020000000000000004
21,29,5,2,2,0,duck_on,-0.2
21,19,5,2,-1,0,do_nothing,-2
20,25,10,4,1,0,jump,-2.18
20,15,10,4,1,0,jump,-2
20,1,3,1,-1,0,duck_on,0.37300000000000005
20,23,3,2,-1,0,do_nothing,-2
20,29,10,4,2,0,jump,0.0049780000000000015
21,19,10,4,2,0,duck_on,0.049778
21,10,10,4,1,0,duck_on,0.49777800000000005
21,0,10,4,-1,0,do_nothing,-0.022220000000000004
21,50,5,2,-1,0,duck_on,-0.03998
21,50,5,2,-1,0,jump,-0.020000000000000004
21,47,5,2,-1,0,duck_off,-0.0020000000000000005
21,38,5,2,2,0,duck_on,-0.020000000000000004
21,28,5,2,-1,0,do_nothing,-0.2
21,19,5,2,-1,0,duck_on,-2
20,27,5,2,2,0,duck_off,0.05500000000000001
21,17,5,2,2,0,jump,1.04282
21,7,5,2,1,0,jump,0.49800000000000005
21,-2,5,2,1,0,duck_off,-0.020000000000000004
21,36,5,2,2,0,duck_off,-0.2
21,27,5,2,2,0,do_nothing,-2
20,33,10,4,2,0,duck_off,-0.020000000000000004
21,24,10,4,2,0,duck_on,-0.2
21,14,10,4,1,0,jump,-2
20,29,3,2,2,0,duck_off,0.004800000000000001
21,19,3,2,2,0,duck_off,0.048
21,10,3,2,1,0,jump,0.48
