velocity,distance,width,jumpVelocity,action,q_value
27,6,25,0,do_nothing,0.0994534054102499
26,6,25,0,jump,-0.011717101320183413
22,6,25,0,jump,0.021601000000000002
17,6,25,-1,jump,7.065100749588147
13,6,25,-1,jump,0.010000000000000002
12,6,25,-1,duck,0.010000000000000002
11,6,25,-1,do_nothing,10.804512140172303
10,6,25,-1,duck,5.472795343010102
8,6,25,-1,do_nothing,0.11953729000000002
7,6,25,-1,do_nothing,11.72188837741669
6,6,25,-1,do_nothing,9.862814119156948
3,6,25,1,do_nothing,18.384151021504337
-1,6,25,1,duck,1
-2,6,25,1,do_nothing,8.783161724856505
-3,6,25,1,do_nothing,2.0677641162001765
26,5,25,-1,do_nothing,1.0003085727412255
25,5,25,-1,jump,0.013407922000000001
29,4,25,0,duck,-0.020710000000000003
28,4,25,0,jump,-0.050024710000000014
28,4,25,-1,jump,-0.03848824286689427
26,4,25,-1,duck,-0.01932037179427705
24,4,25,-1,jump,0.011710000000000002
21,4,25,-1,jump,0.07639316576504546
19,4,25,-1,do_nothing,1.1010234453452898
11,4,25,1,duck,6.0755872210264865
10,4,25,1,duck,6.605733805423727
6,4,25,1,jump,5.410927483963372
4,4,25,1,jump,8.170286520908903
-3,4,25,1,jump,-0.048683238693807335
28,4,25,0,duck,-0.04428980667204561
27,4,25,0,jump,-0.026213365085259975
26,4,25,0,do_nothing,-0.021569057250659197
25,4,25,0,do_nothing,0.05447057496499772
23,4,25,0,duck,0.060036944239885086
18,4,25,0,duck,1.0285219
17,4,25,0,do_nothing,2.9052182710000003
16,4,25,0,jump,2.32367383
15,4,25,0,jump,3.7077751
14,4,25,0,jump,2.3294518142050764
13,4,25,0,jump,3.05758
29,5,25,1,duck,-0.06703039385680475
28,5,25,0,do_nothing,0.05129389003987211
27,5,25,0,duck,-0.017233511750200003
25,5,25,0,duck,-0.010000000000000002
24,5,25,0,duck,0.12935566567159337
23,5,25,0,do_nothing,1.203825424533614
21,5,25,0,do_nothing,1.0575372869878283
