Speed,Time To Collision,Obs Gap,Obs Width,Is Jumping,Is Ducking,Obs Above Ground,Action,Q Value
12,0,5,2,0,1,0,duck_off,0.502074773122446
12,0,6,2,0,1,0,duck_on,-0.01966764068993089
12,27,5,3,1,0,0,duck_off,0.0088
12,18,5,3,1,0,0,duck_off,0.95
12,8,5,3,1,0,0,duck_on,0.5
12,-1,5,3,1,0,0,duck_on,-0.01978067695226854
12,25,6,5,1,0,0,do_nothing,0.025713299999999994
12,28,6,5,0,1,0,do_nothing,-0.019792023681641666
12,27,6,5,0,0,0,jump,-0.04036553324325075
12,27,6,5,0,1,0,duck_off,0.0022190491296518703
12,27,6,5,0,0,0,do_nothing,0.002074733958723513
12,26,6,5,0,0,0,do_nothing,0.501818
12,21,5,1,1,0,0,duck_off,0.9550000000000001
12,11,5,1,1,0,0,do_nothing,0.95
12,1,5,1,1,0,0,duck_on,-0.019726432181011666
12,21,3,1,1,0,0,duck_off,0.5
12,11,3,1,1,0,0,duck_off,0.95
12,20,4,1,1,0,0,do_nothing,0.9915628647380001
12,1,5,1,0,0,0,duck_off,0.002217379286856487
12,8,5,3,0,0,0,jump,0.5
12,-1,5,3,1,0,0,do_nothing,-0.02167860797244226
12,28,6,3,1,0,0,duck_on,1.4120548987349304
12,8,6,3,0,1,0,jump,0.5
12,-1,6,3,0,1,0,do_nothing,-0.019781757285092846
12,8,6,3,0,0,0,do_nothing,0.9500994778348517
12,23,6,2,1,0,0,duck_off,0.5234251440508708
12,4,6,2,0,0,0,jump,-0.02138492964287865
12,-1,5,2,1,0,0,duck_off,-0.020920461316285333
12,10,5,2,0,1,0,duck_off,1.7196643498183157
12,-1,6,3,0,0,0,duck_off,0.0022222206827790625
12,0,6,5,0,0,0,duck_on,-0.019779688185963373
12,21,6,5,1,0,0,do_nothing,2.908663539842222
12,11,6,5,1,0,0,do_nothing,2.6201343714475174
12,1,6,5,0,0,0,do_nothing,0.3705222222222222
12,-8,6,5,0,0,0,do_nothing,0.015735947114235888
12,24,6,3,1,0,0,jump,0.9545
12,-5,6,3,1,0,0,duck_off,-0.02121204925661919
12,25,6,2,1,0,0,duck_off,4.034860699974377
12,6,6,2,1,0,0,duck_on,2.0649905633096326
12,-4,6,2,0,1,0,duck_off,0.0022222222222207317
12,5,6,2,0,0,0,jump,-0.021144779202896456
12,22,6,5,1,0,0,do_nothing,0.5
12,12,6,5,1,0,0,do_nothing,1.355
12,2,6,5,0,0,0,duck_off,2.3431161326026513
12,-7,6,5,0,0,0,jump,-0.0210975741671722
12,4,5,2,1,0,0,duck_on,-0.03790258451331388
12,26,4,1,1,0,0,duck_on,1.3730501797228518
12,9,6,3,1,1,0,duck_off,0.5000608409501794
12,-1,6,3,0,0,0,jump,-0.021426737007645753
12,6,5,2,1,0,0,do_nothing,1.5887806657726609
12,11,5,3,0,0,0,jump,0.5
12,1,5,3,1,0,0,duck_on,-0.021419456305132624
12,20,3,1,1,0,0,do_nothing,0.505
12,18,6,3,1,0,0,duck_on,0.5171955648773937
12,-1,6,3,0,1,0,duck_on,-0.019778080653084507
12,0,6,2,0,1,0,duck_off,0.006022222222222169
12,19,6,2,0,1,0,jump,0.5171952222222223
12,0,6,5,0,0,0,jump,-0.02153101026741504
12,21,4,2,1,0,0,duck_on,0.5
12,11,4,2,0,1,0,duck_off,0.5
12,3,6,3,0,0,0,do_nothing,0.026810222229273897
12,14,5,3,0,1,0,duck_off,0.5
12,4,5,3,0,0,0,jump,0.95
12,-5,5,3,1,0,0,duck_on,-0.021406462504359965
12,5,6,2,0,0,0,duck_off,0.4571002222222222
12,16,4,1,0,1,0,duck_on,1.355
12,14,6,3,0,1,0,duck_off,0.5
12,4,6,3,0,0,0,do_nothing,1.355
12,-6,6,3,0,0,0,duck_on,-0.019778984619989816
12,9,6,5,1,0,0,duck_on,0.95
12,0,6,5,1,0,0,do_nothing,-0.02739866801030867
12,26,3,1,1,0,0,duck_on,0.5
12,16,3,1,0,1,0,jump,0.5
